ULN,First Name,Last Name,Date of Birth,UKPRN,Academic year,Core code,Specialism code(s)
9400000012,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test12,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test12,12011981,99999902,{AcademicYear},77777777,70000002
9400000013,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test13,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test13,12011981,99999902,{AcademicYear},77777777,70000002
9400000014,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test14,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test14,12011981,99999902,{AcademicYear},77777777,70000002
9400000015,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test15,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test15,12011981,99999902,{AcademicYear},77777777,70000002
9400000016,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test16,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test16,12011981,99999902,{AcademicYear},77777777,70000002
9400000017,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test17,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test17,12011981,99999902,{AcademicYear},77777777,70000002
9400000018,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test18,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test18,12011981,99999902,{AcademicYear},77777777,70000002
9400000019,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test19,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test19,12011981,99999902,{AcademicYear},77777777,70000002
9400000020,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test20,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test20,12011981,99999902,{AcademicYear},77777777,70000002
9400000021,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test21,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test21,12011981,99999902,{AcademicYear},77777777,70000002
9400000022,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test22,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test22,12011981,99999902,{AcademicYear},77777777,70000002
9400000023,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test23,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test23,12011981,99999902,{AcademicYear},77777777,70000002
9400000024,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test24,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test24,12011981,99999902,{AcademicYear},77777777,70000002
9400000025,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test25,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test25,12011981,99999902,{AcademicYear},77777777,70000002
9400000026,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test26,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test26,12011981,99999902,{AcademicYear},77777777,70000002
9400000027,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test27,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test27,12011981,99999902,{AcademicYear},77777777,70000002
9400000028,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test28,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test28,12011981,99999902,{AcademicYear},77777777,70000002
9400000029,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test29,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test29,12011981,99999902,{AcademicYear},77777777,70000002
9400000030,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test30,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test30,12011981,99999902,{AcademicYear},77777777,70000002
9400000031,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test31,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test31,12011981,99999902,{AcademicYear},77777777,70000002
9400000032,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test32,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test32,12011981,99999902,{AcademicYear},77777777,70000002
9400000033,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test33,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test33,12011981,99999902,{AcademicYear},77777777,70000002
9400000034,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test34,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test34,12011981,99999902,{AcademicYear},77777777,70000002
9400000035,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test35,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test35,12011981,99999902,{AcademicYear},77777777,70000002
9400000036,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test36,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test36,12011981,99999902,{AcademicYear},77777777,70000002
9400000037,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test37,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test37,12011981,99999902,{AcademicYear},77777777,70000002
9400000038,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test38,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test38,12011981,99999902,{AcademicYear},77777777,70000002
9400000039,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test39,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test39,12011981,99999902,{AcademicYear},77777777,70000002
9400000040,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test40,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test40,12011981,99999902,{AcademicYear},77777777,70000002
9400000041,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test41,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test41,12011981,99999902,{AcademicYear},77777777,70000002
9400000042,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test42,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test42,12011981,99999902,{AcademicYear},77777777,70000002
9400000043,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test43,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test43,12011981,99999902,{AcademicYear},77777777,70000002
9400000044,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test44,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test44,12011981,99999902,{AcademicYear},77777777,70000002
9400000045,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test45,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test45,12011981,99999902,{AcademicYear},77777777,70000002
9400000046,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test46,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test46,12011981,99999902,{AcademicYear},77777777,70000002
9400000047,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test47,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test47,12011981,99999902,{AcademicYear},77777777,70000002
9400000048,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test48,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test48,12011981,99999902,{AcademicYear},77777777,70000002
9400000049,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test49,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test49,12011981,99999902,{AcademicYear},77777777,70000002
9400000050,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test50,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test50,12011981,99999902,{AcademicYear},77777777,70000002
9400000051,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test51,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test51,12011981,99999902,{AcademicYear},77777777,70000002
9400000052,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test52,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test52,12011981,99999902,{AcademicYear},77777777,70000002
9400000053,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test53,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test53,12011981,99999902,{AcademicYear},77777777,70000002
9400000054,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test54,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test54,12011981,99999902,{AcademicYear},77777777,70000002
9400000055,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test55,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test55,12011981,99999902,{AcademicYear},77777777,70000002
9400000056,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test56,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test56,12011981,99999902,{AcademicYear},77777777,70000002
9400000057,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test57,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test57,12011981,99999902,{AcademicYear},77777777,70000002
9400000058,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test58,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test58,12011981,99999902,{AcademicYear},77777777,70000002
9400000059,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test59,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test59,12011981,99999902,{AcademicYear},77777777,70000002
9400000060,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test60,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test60,12011981,99999902,{AcademicYear},77777777,70000002
9400000061,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test61,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test61,12011981,99999902,{AcademicYear},77777777,70000002
9400000062,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test62,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test62,12011981,99999902,{AcademicYear},77777777,70000002
9400000063,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test63,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test63,12011981,99999902,{AcademicYear},77777777,70000002
9400000064,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test64,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test64,12011981,99999902,{AcademicYear},77777777,70000002
9400000065,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test65,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test65,12011981,99999902,{AcademicYear},77777777,70000002
9400000066,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test66,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test66,12011981,99999902,{AcademicYear},77777777,70000002
9400000067,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test67,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test67,12011981,99999902,{AcademicYear},77777777,70000002
9400000068,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test68,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test68,12011981,99999902,{AcademicYear},77777777,70000002
9400000069,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test69,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test69,12011981,99999902,{AcademicYear},77777777,70000002
9400000070,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test70,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test70,12011981,99999902,{AcademicYear},77777777,70000002
9400000071,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test71,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test71,12011981,99999902,{AcademicYear},77777777,70000002
9400000072,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test72,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test72,12011981,99999902,{AcademicYear},77777777,70000002
9400000073,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test73,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test73,12011981,99999902,{AcademicYear},77777777,70000002
9400000074,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test74,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test74,12011981,99999902,{AcademicYear},77777777,70000002
9400000075,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test75,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test75,12011981,99999902,{AcademicYear},77777777,70000002
9400000076,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test76,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test76,12011981,99999902,{AcademicYear},77777777,70000002
9400000077,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test77,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test77,12011981,99999902,{AcademicYear},77777777,70000002
9400000078,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test78,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test78,12011981,99999902,{AcademicYear},77777777,70000002
9400000079,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test79,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test79,12011981,99999902,{AcademicYear},77777777,70000002
9400000080,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test80,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test80,12011981,99999902,{AcademicYear},77777777,70000002
9400000081,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test81,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test81,12011981,99999902,{AcademicYear},77777777,70000002
9400000082,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test82,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test82,12011981,99999902,{AcademicYear},77777777,70000002
9400000083,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test83,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test83,12011981,99999902,{AcademicYear},77777777,70000002
9400000084,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test84,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test84,12011981,99999902,{AcademicYear},77777777,70000002
9400000085,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test85,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test85,12011981,99999902,{AcademicYear},77777777,70000002
9400000086,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test86,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test86,12011981,99999902,{AcademicYear},77777777,70000002
9400000087,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test87,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test87,12011981,99999902,{AcademicYear},77777777,70000002
9400000088,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test88,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test88,12011981,99999902,{AcademicYear},77777777,70000002
9400000089,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test89,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test89,12011981,99999902,{AcademicYear},77777777,70000002
9400000090,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test90,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test90,12011981,99999902,{AcademicYear},77777777,70000002
9400000091,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test91,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test91,12011981,99999902,{AcademicYear},77777777,70000002
9400000092,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test92,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test92,12011981,99999902,{AcademicYear},77777777,70000002
9400000093,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test93,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test93,12011981,99999902,{AcademicYear},77777777,70000002
9400000094,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test94,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test94,12011981,99999902,{AcademicYear},77777777,70000002
9400000095,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test95,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test95,12011981,99999902,{AcademicYear},77777777,70000002
9400000096,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test96,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test96,12011981,99999902,{AcademicYear},77777777,70000002
9400000097,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test97,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test97,12011981,99999902,{AcademicYear},77777777,70000002
9400000098,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test98,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test98,12011981,99999902,{AcademicYear},77777777,70000002
9400000099,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test99,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test99,12011981,99999902,{AcademicYear},77777777,70000002
9400000100,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test100,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test100,12011981,99999902,{AcademicYear},77777777,70000002
9400000101,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test101,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test101,12011981,99999902,{AcademicYear},77777777,70000002
9400000102,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test102,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test102,12011981,99999902,{AcademicYear},77777777,70000002
9400000103,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test103,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test103,12011981,99999902,{AcademicYear},77777777,70000002
9400000104,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test104,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test104,12011981,99999902,{AcademicYear},77777777,70000002
9400000105,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test105,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test105,12011981,99999902,{AcademicYear},77777777,70000002
9400000106,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test106,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test106,12011981,99999902,{AcademicYear},77777777,70000002
9400000107,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test107,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test107,12011981,99999902,{AcademicYear},77777777,70000002
9400000108,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test108,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test108,12011981,99999902,{AcademicYear},77777777,70000002
9400000109,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test109,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test109,12011981,99999902,{AcademicYear},77777777,70000002
9400000110,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test110,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test110,12011981,99999902,{AcademicYear},77777777,70000002
9400000111,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test111,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test111,12011981,99999902,{AcademicYear},77777777,70000002
9400000112,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test112,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test112,12011981,99999902,{AcademicYear},77777777,70000002
9400000113,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test113,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test113,12011981,99999902,{AcademicYear},77777777,70000002
9400000114,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test114,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test114,12011981,99999902,{AcademicYear},77777777,70000002
9400000115,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test115,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test115,12011981,99999902,{AcademicYear},77777777,70000002
9400000116,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test116,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test116,12011981,99999902,{AcademicYear},77777777,70000002
9400000117,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test117,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test117,12011981,99999902,{AcademicYear},77777777,70000002
9400000118,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test118,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test118,12011981,99999902,{AcademicYear},77777777,70000002
9400000119,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test119,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test119,12011981,99999902,{AcademicYear},77777777,70000002
9400000120,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test120,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test120,12011981,99999902,{AcademicYear},77777777,70000002
9400000121,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test121,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test121,12011981,99999902,{AcademicYear},77777777,70000002
9400000122,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test122,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test122,12011981,99999902,{AcademicYear},77777777,70000002
9400000123,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test123,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test123,12011981,99999902,{AcademicYear},77777777,70000002
9400000124,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test124,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test124,12011981,99999902,{AcademicYear},77777777,70000002
9400000125,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test125,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test125,12011981,99999902,{AcademicYear},77777777,70000002
9400000126,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test126,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test126,12011981,99999902,{AcademicYear},77777777,70000002
9400000127,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test127,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test127,12011981,99999902,{AcademicYear},77777777,70000002
9400000128,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test128,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test128,12011981,99999902,{AcademicYear},77777777,70000002
9400000129,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test129,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test129,12011981,99999902,{AcademicYear},77777777,70000002
9400000130,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test130,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test130,12011981,99999902,{AcademicYear},77777777,70000002
9400000131,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test131,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test131,12011981,99999902,{AcademicYear},77777777,70000002
9400000132,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test132,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test132,12011981,99999902,{AcademicYear},77777777,70000002
9400000133,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test133,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test133,12011981,99999902,{AcademicYear},77777777,70000002
9400000134,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test134,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test134,12011981,99999902,{AcademicYear},77777777,70000002
9400000135,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test135,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test135,12011981,99999902,{AcademicYear},77777777,70000002
9400000136,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test136,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test136,12011981,99999902,{AcademicYear},77777777,70000002
9400000137,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test137,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test137,12011981,99999902,{AcademicYear},77777777,70000002
9400000138,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test138,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test138,12011981,99999902,{AcademicYear},77777777,70000002
9400000139,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test139,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test139,12011981,99999902,{AcademicYear},77777777,70000002
9400000140,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test140,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test140,12011981,99999902,{AcademicYear},77777777,70000002
9400000141,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test141,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test141,12011981,99999902,{AcademicYear},77777777,70000002
9400000142,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test142,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test142,12011981,99999902,{AcademicYear},77777777,70000002
9400000143,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test143,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test143,12011981,99999902,{AcademicYear},77777777,70000002
9400000144,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test144,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test144,12011981,99999902,{AcademicYear},77777777,70000002
9400000145,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test145,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test145,12011981,99999902,{AcademicYear},77777777,70000002
9400000146,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test146,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test146,12011981,99999902,{AcademicYear},77777777,70000002
9400000147,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test147,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test147,12011981,99999902,{AcademicYear},77777777,70000002
9400000148,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test148,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test148,12011981,99999902,{AcademicYear},77777777,70000002
9400000149,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test149,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test149,12011981,99999902,{AcademicYear},77777777,70000002
9400000150,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test150,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test150,12011981,99999902,{AcademicYear},77777777,70000002
9400000151,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test151,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test151,12011981,99999902,{AcademicYear},77777777,70000002
9400000152,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test152,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test152,12011981,99999902,{AcademicYear},77777777,70000002
